Company / Agency,Email,Type,Status,Date Applied,Follow-up Date,Notes,Opening Scan Status,Matched Role(s),Opening Source URL(s),Confidence,Recommended Action,Scan Date
ADMS UAE,info@admsuae.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
AKRS,info@akrs.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
ASRS,Info@asrs.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Adecco,adeccoae.info@adecco.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Al Mansoor Group,info@almansoorgroup.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Al Nahiya,enquiries@alnahiya.com ; info@alnahiya.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Al Thawiya,enquiry@al-thawiya.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Al Vakil,jobs@alvakil.net ; adminmumbai@alvakil.net,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Antal,info@antal.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
BAC Middle East,recruit@bacme.com ; submit@bacme.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
CIG,info@cig.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Derby Group,info@derbygroup.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Emirates Net,mansoor@emirates.net.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Executive Solutions ME,info@executivesolutionsme.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Experts Recruitment,gaile@expertsrecruitment.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Hays,clientmiddleeast@hays.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Horizon Group,horizongroup@horizon.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Innovation UAE,recruitment@innovationuae.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Inspire Selection,info@inspireselection.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
JVI Global,jobseekers@jvi-global.com ; employers@jvi-global.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Kershaw Leonard,mike@kershawleonard.net,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Lobo Management,lobo@lobomanagement.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Mackenzie Jones,info@mackenziejones.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Manpower Middle East,info@manpower-me.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Michael Page,clientmiddleeast@michaelpage.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Nadia Global,Contact@nadiaglobal.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Nathan HR,info@nathanhr.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Pact Employment,info@pactemployment.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Randstad,corporate.communications@randstad.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Rawafed,careers@rawafed.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Reach Group,jobs@reachgroup.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Receptionist PA,info@receptionistpa.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
SSA Ltd,ian.mclean@ssaltd.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Sawaeed,info@sawaeed.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Spark,sparkmos@spark.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Sundus Recruitment,cv@sundusrecruitment.com ; info@sundusrecruitment.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
TASC Outsourcing,dxbjobs@tascoutsourcing.com ; request@tascoutsourcing.com ; info@tascoutsourcing.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Talascend,talascend.marketing@talascend.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
UHRS,info@uhrs.ae,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Xperts Jobs,cv@xpertsjobs.com,Agency,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
ACX,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Addenda,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Amwal,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Caliberly,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Cander,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Charterhouse,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Cooper Fitch,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Greengage,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Halian,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
KinFitz & Co,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Masdar,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Million,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Petty,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Salt,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
She is Arab,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Sparklo,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Umatr,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
